"teta [deg]","Torque1.Torque/50 []"
-180,1.28225966203211
-179,-7.9598717298414
-178,-18.7400427128923
-177,-30.7997885347736
-176,-34.4829843190498
-175,-42.2337336813776
-174,-46.8685518024028
-173,-52.0903689824378
-172,-54.8573217403076
-171,-55.8656316521932
-170,-58.7548467775718
-169,-59.4198004880782
-168,-61.3905817432696
-167,-62.095276476943
-166,-61.4280055560308
-165,-63.581828934904
-164,-62.9777714408726
-163,-64.9967625300228
-162,-66.21708396339
-161,-63.620522867794
-160,-64.0856330543952
-159,-65.315721557278
-158,-66.5799924549416
-157,-67.5313913140158
-156,-64.9991838199758
-155,-64.4480063852298
-154,-66.3908834423726
-153,-66.827082673873
-152,-65.4712676166002
-151,-65.9646425410218
-150,-66.1537461298932
-149,-67.0173531179528
-148,-67.7457720289416
-147,-66.1413268942116
-146,-66.2217541458306
-145,-66.5249486992278
-144,-67.651341052365
-143,-68.2732841326522
-142,-65.601262973853
-141,-65.9951582410938
-140,-66.5899578166766
-139,-67.9658448846332
-138,-69.3497809806452
-137,-65.782747328983
-136,-66.6259950859954
-135,-67.1408012794268
-134,-68.5126688406512
-133,-69.0485302413314
-132,-67.5757942222642
-131,-67.305207769034
-130,-67.7571952773068
-129,-68.9443032850068
-128,-69.9452689685274
-127,-67.7931578275692
-126,-67.710398459137
-125,-67.6611906554754
-124,-68.5375530885974
-123,-67.1716509118448
-122,-67.1500990358662
-121,-67.9619748131432
-120,-68.5989347647728
-119,-68.9199048198142
-118,-68.782615822209
-117,-67.8379314367428
-116,-68.1943022453972
-115,-68.1541786337442
-114,-69.827282934745
-113,-68.7249449883934
-112,-68.8230915431632
-111,-68.163671179299
-110,-68.6008664349418
-109,-67.4995875242618
-108,-67.6274151900548
-107,-69.9042998458446
-106,-66.3921533209174
-105,-63.162584640221
-104,-55.7456735723258
-103,-46.6843925299116
-102,-37.9477183421232
-101,-29.2132165314128
-100,-24.884349973664
-99,-19.7953702962882
-98,-16.230574817428
-97,-13.0241712776729
-96,-10.520259323167
-95,-8.34195798485354
-94,-6.31936745181536
-93,-4.65212967754214
-92,-3.12744255280824
-91,-1.17764424238541
-90,0.0645271635874108
-89,1.34320171506555
-88,3.0562779507706
-87,4.65677823988838
-86,6.34501667171582
-85,8.34151768477002
-84,10.4606773425849
-83,12.9311590306068
-82,16.1077022307582
-81,20.1371217828866
-80,24.7712007626714
-79,29.1995624035848
-78,38.717315935348
-77,46.1729072895858
-76,55.4059050643712
-75,62.9467380785896
-74,66.3340911219718
-73,68.7070351775444
-72,67.8445189202712
-71,67.5448985302452
-70,69.2061605782002
-69,67.9021988470692
-68,69.021590325107
-67,69.0048447095434
-66,68.7989784274564
-65,68.2608081164552
-64,68.2400551884024
-63,68.5317765812116
-62,68.858995371651
-61,68.0383707889366
-60,68.4941891981804
-59,67.2435460308606
-58,66.58628447205
-57,67.4507539846806
-56,69.12415958075
-55,67.4700751843098
-54,67.5519281613854
-53,67.5697703505332
-52,69.5409167848634
-51,68.7667291130778
-50,67.811097183072
-49,67.4721869754434
-48,67.5203404109994
-47,69.6979231177286
-46,68.2355620295648
-45,67.7537798759252
-44,67.1776378554906
-43,66.203902579199
-42,68.8372380393832
-41,67.7961474217006
-40,67.021085342557
-39,65.9676465211078
-38,65.6078322354806
-37,68.8434088327682
-36,67.4900243973772
-35,65.6179511393024
-34,66.318863773846
-33,66.0348801886732
-32,68.3504999102778
-31,66.8673154308448
-30,65.7456535662724
-29,65.595774446174
-28,65.6117168380546
-27,67.384319698505
-26,66.2655103068178
-25,64.8246151326284
-24,64.8391045351338
-23,67.6961725320742
-22,66.6431949253722
-21,65.3222623229668
-20,64.3491194824796
-19,63.596220243049
-18,66.2327850382898
-17,64.9657996363474
-16,63.4051790430012
-15,63.5654477007914
-14,61.617910141011
-13,63.02045175671
-12,61.4531859015374
-11,59.455021961895
-10,58.6221461814732
-9,55.8332164267214
-8,55.4991696126728
-7,52.1112859615752
-6,46.6181002834858
-5,41.99987338493
-4,40.6956199444484
-3,30.9869320042238
-2,19.3065739610235
-1,8.1839754998452
0,1.2822596620317
1,-7.95987172982764
2,-18.7400427128884
3,-30.7997885347772
4,-34.4829843190514
5,-41.4142672243344
6,-46.8685518023808
7,-52.0901475268712
8,-55.006890508824
9,-55.7018644680662
10,-58.7548467775716
11,-59.419800488066
12,-61.3905817432674
13,-62.0952764769446
14,-61.4280055560396
15,-63.5818289349292
16,-62.977771440873
17,-64.996762530025
18,-66.2170839634084
19,-63.6205228677908
20,-64.0856330543948
21,-65.3157215572526
22,-66.5799924549482
23,-67.5313913140294
24,-64.9991838199572
25,-64.4480063852298
26,-66.3908834423928
27,-66.8270826738732
28,-65.4712676165636
29,-65.9646425410198
30,-66.1537461299136
31,-67.0173531179452
32,-67.7457720288944
33,-66.1413268942056
34,-66.221754145837
35,-66.5249486992028
36,-67.651341052367
37,-68.2732841326554
38,-65.601262973839
39,-65.9951582410932
40,-66.5899578166886
41,-67.9658448846268
42,-69.3497809806526
43,-65.782747328986
44,-66.6259950859954
45,-67.1408012794256
46,-68.5126688406512
47,-69.0485302413282
