"teta [deg]","Torque1.Torque/50 []"
-180,0.924875988265388
-179,-6.47375834461804
-178,-13.6891659909265
-177,-22.5054743164654
-176,-25.3194470078144
-175,-30.8903157430156
-174,-34.6711830309346
-173,-38.4731038593098
-172,-40.5406996160644
-171,-41.11369414618
-170,-44.1509348295378
-169,-44.8192208435746
-168,-46.4627090344104
-167,-47.1763127894176
-166,-46.620327116336
-165,-48.2745871829698
-164,-48.445073612772
-163,-50.1058123024002
-162,-51.2104656813732
-161,-49.1539372136362
-160,-50.0017798982274
-159,-51.0837059707944
-158,-52.1843026427154
-157,-53.0407705099214
-156,-51.0199905704068
-155,-51.0619357464884
-154,-52.6781769170916
-153,-53.144467318807
-152,-52.1945422398004
-151,-52.5498989720766
-150,-53.0763993464252
-149,-53.841044060799
-148,-54.5390491484992
-147,-53.1807190142812
-146,-53.6966685609312
-145,-53.5405651907844
-144,-54.9729352920922
-143,-55.5833295343848
-142,-53.6512543501172
-141,-54.1043930301816
-140,-54.5706685813516
-139,-55.8206548488952
-138,-57.0252775832602
-137,-54.5829556186096
-136,-55.1730795616458
-135,-55.6522617700464
-134,-56.8129757627832
-133,-57.3148286715744
-132,-55.616680672888
-131,-56.204233992635
-130,-56.6923527022136
-129,-57.7152976926574
-128,-58.6067748507172
-127,-57.010703355912
-126,-57.0675575042472
-125,-57.1389161180292
-124,-57.941809768143
-123,-56.9534288833274
-122,-57.067257723205
-121,-57.8597520717784
-120,-58.4870503066582
-119,-58.8407833480368
-118,-58.8631242149408
-117,-58.1656430133136
-116,-58.6686769955006
-115,-58.6705320962752
-114,-60.1931155754458
-113,-59.861746009806
-112,-59.6099911708796
-111,-59.1384441671942
-110,-59.5562824960866
-109,-58.8859964619462
-108,-59.0289367642094
-107,-61.0297427963006
-106,-58.1067883439646
-105,-55.353293297736
-104,-49.1862451021202
-103,-41.3156892090114
-102,-32.3268562275024
-101,-26.0099068305702
-100,-22.1781892302296
-99,-17.6711583886252
-98,-14.6043590207507
-97,-11.6555379661807
-96,-9.4222081459195
-95,-7.49153764862764
-94,-5.666220131004
-93,-4.17663626905364
-92,-2.80651463016324
-91,-1.05708714829565
-90,0.0581544632613102
-89,1.20640114982963
-88,2.7422694146989
-87,4.17710367244636
-86,5.6894387414014
-85,7.49123201961318
-84,9.31993913016442
-83,11.5726546539409
-82,14.4927501943058
-81,17.9722543336293
-80,22.0788168320198
-79,25.9985488288118
-78,34.339614746588
-77,40.7687064497266
-76,48.9068069511482
-75,55.533509106486
-74,57.6599340890672
-73,60.0079767830874
-72,59.1657259010846
-71,58.9126562652244
-70,60.1472653459574
-69,58.9306243511376
-68,59.7620734512626
-67,59.6291399719214
-66,59.3385789799784
-65,58.7547155801166
-64,58.6185414986036
-63,58.452650489175
-62,58.9555448143468
-61,59.1218546311546
-60,58.375332646201
-59,57.2657973088518
-58,56.5836251451708
-57,57.1789877395324
-56,58.4115200502926
-55,57.1386644782568
-54,57.0804485335238
-53,56.9124732543196
-52,58.3020782510356
-51,57.578675135014
-50,56.7539125040298
-49,56.3480281882078
-48,56.2736915311162
-47,57.8883454628804
-46,56.5882478553462
-45,56.146552244803
-44,56.1789994640866
-43,54.4075099210188
-42,56.6288120242232
-41,55.6878086952754
-40,54.9296721466004
-39,54.0819739010056
-38,53.4453792186708
-37,56.0329369750204
-36,54.8544513029728
-35,53.2899965464812
-34,53.466492876686
-33,53.333603027794
-32,55.0026383077088
-31,53.7355921667894
-30,52.747196141991
-29,52.235878046381
-28,52.3860772787138
-27,53.556515268856
-26,52.5827152080184
-25,51.3653254682288
-24,51.2785708909218
-23,53.1830687413218
-22,52.2268093806282
-21,51.0769636077244
-20,50.2638873726396
-19,49.4576285956708
-18,51.2314417648884
-17,50.084991023861
-16,48.7731691779902
-15,48.2623755863688
-14,46.6006472660362
-13,47.8565538475944
-12,46.5050658879722
-11,44.8629904561922
-10,44.0464277577086
-9,41.6436213707482
-8,41.3271940562728
-7,38.4744406641878
-6,34.4973847590192
-5,30.9190029182544
-4,29.8862570984702
-3,22.6292798824654
-2,14.0897292732715
-1,5.9924645240911
0,0.92487598826222
1,-6.4737583446287
2,-13.6891659909394
3,-22.5054743164678
4,-25.3194470078262
5,-30.4473196442484
6,-34.6711830309338
7,-38.470804636558
8,-40.4920208846254
9,-41.4918084012782
10,-44.1509348295378
11,-44.8192208435848
12,-46.462709034422
13,-47.1763127894034
14,-46.6203271163364
15,-48.2745871829626
16,-48.4450736127606
17,-50.1058123024062
18,-51.2104656813866
19,-49.1539372136362
20,-50.0017798982208
21,-51.0837059707902
22,-52.1843026427222
23,-53.0407705099474
24,-51.019990570394
25,-51.0619357464816
26,-52.678176917089
27,-53.1444673188074
28,-52.194542239809
29,-52.5498989720566
30,-53.0763993464174
31,-53.8410440607936
32,-54.5390491485034
33,-53.1807190142806
34,-53.6966685609442
35,-53.5405651907858
36,-54.9729352920726
37,-55.5833295343848
38,-53.651254350144
39,-54.1043930301816
40,-54.5706685813494
41,-55.8206548488952
42,-57.0252775832458
43,-54.5829556186028
44,-55.1730795616378
45,-55.6522617700388
46,-56.8129757627832
47,-57.3148286715768
48,-55.6190380117006
49,-56.2050560826518
50,-56.6923527022202
51,-57.7166343521564
52,-58.6067748507094
53,-57.0107033559116
54,-57.0675575042394
55,-57.1389161180458
56,-57.9418097681298
57,-56.9534288833206
58,-57.0672577232192
59,-57.8597520717768
60,-58.48705030664
61,-58.8407833480468
62,-58.863124214934
63,-58.1656430133196
64,-58.6686769954994
65,-58.6705320962828
66,-60.1931155754678
67,-59.861746009801
68,-59.6099911708796
69,-59.1384441671942
70,-59.5562824960858
71,-58.88599646195
