"teta [deg]","Matrix1.L(Current1,Current1)/50 []"
-180,23.8192005781826
-179,23.7783067122234
-178,23.769763669124
-177,23.7045218767179
-176,23.6098512196909
-175,23.5197881276226
-174,23.4053757727347
-173,23.3250704265075
-172,23.1799401372024
-171,22.9670706652935
-170,22.8192052455028
-169,22.6701293115997
-168,22.5226193700182
-167,22.3398557431367
-166,22.1310011745819
-165,21.9322663123632
-164,21.7981735861375
-163,21.6286325274836
-162,21.4215009462971
-161,21.1697616650128
-160,21.0302504485121
-159,20.8693041541619
-158,20.6650284779953
-157,20.463144806859
-156,20.2278197008769
-155,20.0436359242726
-154,19.8802410146198
-153,19.6610962010166
-152,19.4441327388321
-151,19.2369748180374
-150,19.0508095773422
-149,18.8579306646155
-148,18.6341881746284
-147,18.4039465739897
-146,18.2024203143742
-145,17.9977645171904
-144,17.8081557632654
-143,17.582433021496
-142,17.3340513982732
-141,17.0803204509539
-140,16.9248642012479
-139,16.7357447057632
-138,16.5095209741265
-137,16.242494058365
-136,15.992864551896
-135,15.8424475104454
-134,15.6544054370485
-133,15.4231322757349
-132,15.1687998435151
-131,15.0017169547115
-130,14.7496744755334
-129,14.5384270897327
-128,14.3080883469817
-127,14.1095147907475
-126,13.89530741433
-125,13.6385732227599
-124,13.4147247709031
-123,13.1714572746698
-122,12.9143484434255
-121,12.685384620699
-120,12.4897045701177
-119,12.2714518660943
-118,12.0268450725951
-117,11.8040834004897
-116,11.6031322670528
-115,11.345301024767
-114,11.1060666844374
-113,10.8679539862217
-112,10.6749038488788
-111,10.4564675676174
-110,10.1672932643353
-109,9.98520490431671
-108,9.75618899082711
-107,9.50700526401964
-106,9.28437612786931
-105,9.0733515672521
-104,8.8203120616088
-103,8.66830548971784
-102,8.46854713903127
-101,8.33880707922409
-100,8.28328627596099
-99,8.17530429478116
-98,8.10058061748185
-97,8.04099061040606
-96,8.00246910937128
-95,7.95723630848104
-94,7.93873432395007
-93,7.91379264222469
-92,7.89291356803847
-91,7.88728244504925
-90,7.88646059021809
-89,7.88228469481823
-88,7.89758541574659
-87,7.90601651661864
-86,7.93275499485276
-85,7.95841280384864
-84,7.99191709758611
-83,8.0312050014817
-82,8.10098856681856
-81,8.18571747823224
